neighbourhood,room_type,price
Lower West Side,Entire home/apt,128
Edgewater,Entire home/apt,80
Lincoln Park,Entire home/apt,150
Loop,Entire home/apt,140
Loop,Entire home/apt,150
Near West Side,Entire home/apt,450
West Town,Entire home/apt,139
Near West Side,Private room,55
Bridgeport,Private room,65
Edgewater,Entire home/apt,175
South Lawndale,Entire home/apt,60
Logan Square,Entire home/apt,74
Near West Side,Entire home/apt,110
West Town,Private room,34
Logan Square,Entire home/apt,63
Lake View,Private room,70
Hyde Park,Entire home/apt,173
Near North Side,Entire home/apt,177
Near North Side,Entire home/apt,155
Near North Side,Entire home/apt,189
Loop,Entire home/apt,155
Loop,Entire home/apt,162
Portage Park,Entire home/apt,99
West Town,Entire home/apt,170
North Center,Entire home/apt,182
Austin,Entire home/apt,129
Loop,Entire home/apt,200
Lincoln Park,Entire home/apt,125
Logan Square,Entire home/apt,103
North Center,Entire home/apt,266
Lake View,Entire home/apt,139
Lincoln Park,Entire home/apt,269
Lake View,Entire home/apt,269
Near North Side,Entire home/apt,220
Lake View,Entire home/apt,269
Lake View,Entire home/apt,375
North Center,Entire home/apt,69
Portage Park,Entire home/apt,390
Woodlawn,Private room,45
Woodlawn,Private room,45
Loop,Entire home/apt,151
Near North Side,Entire home/apt,135
Armour Square,Private room,49
Logan Square,Private room,51
Bridgeport,Entire home/apt,350
Lake View,Entire home/apt,450
Albany Park,Private room,60
West Town,Entire home/apt,80
Loop,Entire home/apt,86
Lower West Side,Entire home/apt,269
Lake View,Entire home/apt,53
East Garfield Park,Private room,26
Lake View,Entire home/apt,115
Near West Side,Private room,54
Near West Side,Private room,49
Near North Side,Private room,78
West Town,Entire home/apt,85
Hyde Park,Private room,40
East Garfield Park,Private room,49
Near North Side,Entire home/apt,281
Irving Park,Entire home/apt,299
Armour Square,Private room,49
Lincoln Park,Entire home/apt,129
Near South Side,Entire home/apt,116
Uptown,Private room,31
Near North Side,Entire home/apt,120
East Garfield Park,Entire home/apt,130
Near North Side,Entire home/apt,195
Avondale,Entire home/apt,247
Near North Side,Entire home/apt,239
Edgewater,Entire home/apt,75
West Town,Private room,47
Near North Side,Entire home/apt,304
Edgewater,Private room,103
Portage Park,Private room,58
Lincoln Park,Entire home/apt,250
Near North Side,Entire home/apt,182
Albany Park,Private room,33
Logan Square,Entire home/apt,99
Lincoln Square,Entire home/apt,182
Loop,Entire home/apt,79
Portage Park,Entire home/apt,75
Irving Park,Entire home/apt,263
Lake View,Entire home/apt,368
West Town,Entire home/apt,135
Albany Park,Entire home/apt,175
West Town,Entire home/apt,80
Lake View,Entire home/apt,159
West Town,Private room,100
Hyde Park,Entire home/apt,60
