neighbourhood,room_type,price
Williamsburg,Entire home/apt,85
Gravesend,Entire home/apt,106
East Harlem,Entire home/apt,79
Fort Greene,Private room,85
Harlem,Private room,170
Lower East Side,Private room,115
Harlem,Private room,89
Harlem,Shared room,49
Greenpoint,Private room,91
Gramercy,Entire home/apt,400
Bushwick,Entire home/apt,150
Upper West Side,Entire home/apt,2000
Crown Heights,Entire home/apt,97
East Village,Private room,100
Williamsburg,Entire home/apt,179
Greenpoint,Entire home/apt,500
Chelsea,Entire home/apt,429
Kips Bay,Entire home/apt,189
Lower East Side,Private room,120
Nolita,Entire home/apt,300
Astoria,Entire home/apt,107
Astoria,Entire home/apt,95
Harlem,Entire home/apt,199
East Harlem,Entire home/apt,120
West Village,Entire home/apt,199
Allerton,Entire home/apt,125
Williamsburg,Private room,70
Williamsburg,Private room,75
West Village,Private room,100
Bedford-Stuyvesant,Entire home/apt,99
Chelsea,Entire home/apt,250
Williamsburg,Entire home/apt,350
Prospect Heights,Entire home/apt,170
East Village,Entire home/apt,165
Hell's Kitchen,Private room,99
Chelsea,Private room,255
East New York,Entire home/apt,169
Crown Heights,Entire home/apt,99
Upper East Side,Entire home/apt,169
Bedford-Stuyvesant,Entire home/apt,160
Prospect Heights,Entire home/apt,215
Park Slope,Entire home/apt,130
East Village,Private room,110
Hell's Kitchen,Private room,150
Williamsburg,Private room,65
Sunnyside,Private room,75
Chelsea,Entire home/apt,149
Upper West Side,Private room,89
Washington Heights,Private room,50
Prospect-Lefferts Gardens,Private room,43
Prospect-Lefferts Gardens,Private room,42
Williamsburg,Private room,85
Bedford-Stuyvesant,Entire home/apt,139
Park Slope,Private room,105
Park Slope,Entire home/apt,265
Hell's Kitchen,Entire home/apt,149
Harlem,Private room,68
Bedford-Stuyvesant,Entire home/apt,99
Harlem,Private room,75
Williamsburg,Private room,100
Upper East Side,Shared room,90
East Village,Entire home/apt,160
Park Slope,Entire home/apt,190
Bedford-Stuyvesant,Private room,67
Upper East Side,Entire home/apt,190
Clinton Hill,Entire home/apt,248
Williamsburg,Private room,100
Chinatown,Private room,95
Theater District,Private room,150
Bedford-Stuyvesant,Entire home/apt,145
Bushwick,Private room,41
Williamsburg,Entire home/apt,120
Concourse Village,Private room,50
Fort Greene,Entire home/apt,157
Williamsburg,Entire home/apt,195
Sheepshead Bay,Entire home/apt,70
Williamsburg,Entire home/apt,185
Bedford-Stuyvesant,Entire home/apt,145
Sunnyside,Private room,50
Greenpoint,Entire home/apt,185
East Village,Entire home/apt,250
West Village,Private room,80
Theater District,Entire home/apt,230
Gowanus,Entire home/apt,100
Bushwick,Private room,40
Lower East Side,Private room,200
Emerson Hill,Private room,80
Bedford-Stuyvesant,Private room,79
Long Island City,Entire home/apt,95
Upper West Side,Entire home/apt,300
Fort Hamilton,Entire home/apt,100
Harlem,Private room,80
Bensonhurst,Entire home/apt,110
Clinton Hill,Entire home/apt,172
Lower East Side,Entire home/apt,199
Lower East Side,Entire home/apt,199
Harlem,Private room,100
Harlem,Private room,55
Bedford-Stuyvesant,Private room,75
East Village,Entire home/apt,146
NoHo,Private room,250
Greenpoint,Entire home/apt,116
Tribeca,Private room,150
Park Slope,Private room,120
Chelsea,Entire home/apt,199
Prospect Heights,Entire home/apt,150
Harlem,Private room,69
Harlem,Private room,300
Boerum Hill,Entire home/apt,230
Midtown,Entire home/apt,125
Bedford-Stuyvesant,Private room,79
Fort Greene,Private room,130
Clinton Hill,Private room,239
Shore Acres,Entire home/apt,75
Williamsburg,Entire home/apt,220
Bedford-Stuyvesant,Entire home/apt,80
East Village,Entire home/apt,288
Bedford-Stuyvesant,Entire home/apt,135
West Village,Entire home/apt,225
Chinatown,Private room,110
Bedford-Stuyvesant,Entire home/apt,100
Hell's Kitchen,Private room,130
East Village,Private room,89
Sunset Park,Entire home/apt,200
Bedford-Stuyvesant,Entire home/apt,80
Concourse,Private room,50
East Harlem,Entire home/apt,135
East Village,Private room,90
SoHo,Private room,270
Bedford-Stuyvesant,Entire home/apt,110
East Harlem,Entire home/apt,145
Hell's Kitchen,Entire home/apt,179
Ridgewood,Private room,55
Midtown,Private room,110
Harlem,Entire home/apt,325
Long Island City,Private room,75
South Slope,Entire home/apt,300
West Village,Private room,130
Midtown,Entire home/apt,190
Lower East Side,Entire home/apt,200
Williamsburg,Entire home/apt,180
DUMBO,Entire home/apt,350
East Village,Entire home/apt,160
Kips Bay,Entire home/apt,195
Greenwich Village,Entire home/apt,241
Chinatown,Entire home/apt,300
Ditmars Steinway,Entire home/apt,75
Lower East Side,Entire home/apt,100
Gramercy,Entire home/apt,399
Fort Greene,Private room,85
Prospect-Lefferts Gardens,Entire home/apt,80
Prospect Heights,Private room,55
Clinton Hill,Private room,438
Bedford-Stuyvesant,Entire home/apt,110
West Village,Entire home/apt,200
Clinton Hill,Private room,279
Williamsburg,Entire home/apt,137
Bedford-Stuyvesant,Entire home/apt,280
Williamsburg,Entire home/apt,199
Inwood,Private room,71
Kingsbridge,Private room,42
Bedford-Stuyvesant,Entire home/apt,180
Chelsea,Entire home/apt,226
Crown Heights,Private room,85
Gramercy,Entire home/apt,135
Elmhurst,Entire home/apt,79
Lower East Side,Entire home/apt,154
Greenpoint,Entire home/apt,199
West Village,Entire home/apt,700
West Village,Entire home/apt,246
Washington Heights,Private room,125
Bedford-Stuyvesant,Private room,100
Williamsburg,Entire home/apt,295
Crown Heights,Private room,150
Chinatown,Entire home/apt,119
Harlem,Private room,125
Harlem,Entire home/apt,400
Greenwich Village,Entire home/apt,850
Williamsburg,Private room,129
Upper West Side,Private room,140
Chinatown,Private room,115
East Harlem,Entire home/apt,200
Sunset Park,Entire home/apt,96
Greenpoint,Entire home/apt,199
Greenpoint,Entire home/apt,199
Greenpoint,Entire home/apt,199
