,name,latitude,longitude,price,minimum_nights
5131,Wrigley Field /Roscoe Village Urban Oasis,41.94883,-87.68034,632,1
5136,"Warm, Spacious, Industrial West Loop Loft",41.87697,-87.64480999999998,800,3
5204,-CHICAGO 2 BEDROOM JEFFERSON PARK O'HARE ROSEMONT-,41.971470000000004,-87.76507,899,3
5223,Private Rooftop w/ Entire Chicago Skyline View,41.89072,-87.66207,482,1
5229,IMMACULATE Brand New BUILDING Downtown Chicago!!!,41.88169,-87.66714,1499,2
5253,Unique 2BD/2BATH IN THE HEART OF THE LOOP,41.886109999999995,-87.62475,400,30
5254,Luxury 2BDR w/ King Bed Centrally Located in Loop,41.88667,-87.6266,500,5
5279,Brilliant Downtown Chicago 3-Bedroom Condominium,41.89535,-87.63439,380,2
5299,LEVEL | Two Bedroom Deluxe Corner Suite + Balcony,41.90369000000001,-87.63569,459,2
5302,LEVEL | Two Bedroom Jr Deluxe + Balcony | Old Town,41.90214,-87.63524,559,2
5309,Spacious & Bright 2PBR Heart of Wicker Park 4 You,41.90957,-87.66977,400,1
5311,Spacious & Bright 2PBR Heart of Wicker Park 4 You,41.90954,-87.6683,400,1
5319,The Lincoln,41.92862,-87.65431,422,1
5333,Entire 3 flat brownstone in Gold Coast - Sleeps 24,41.90128,-87.62724,1285,2
5341,Westside Chicago Home Away from Home,41.89243,-87.75379000000002,800,1
5360,Chicago views from the sky/Free Parking.,41.88524,-87.61585,650,2
