,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
5006,40397617,Sonder | 1BR + Balcony Near Grant Park,12243051,Sonder,Near South Side,41.86246,-87.62487,Entire home/apt,171,4,20,2020-06-30,168
5007,40398261,Modern 5BD House with Garage! (Chicago),49787683,Rahul,Portage Park,41.94878,-87.76875,Entire home/apt,260,2,9,2020-05-31,365
5008,40398951,5BR Brownstone * Lincoln Park * Garage Parking,312318265,Salma,Lincoln Park,41.91267,-87.65118000000002,Entire home/apt,306,3,10,2020-09-07,288
5009,40402187,Sonder at South Wabash | Private 2BR + Balcony,12243051,Sonder,Near South Side,41.86429,-87.62488,Entire home/apt,182,4,25,2020-08-27,176
5010,40402278,Comfy room 3m from Subway,46820434,Ivan,North Lawndale,41.85416,-87.70405,Private room,24,3,0,,365
5011,40408111,"Private room near IIT, McCormick Pl, free parking",40832200,Michael,Douglas,41.83314,-87.62001,Private room,42,2,14,2020-09-20,90
5012,40419110,MODERN! 2 BD/2 BA RETREAT IN MT. GREENWOOD/BEVERLY,150358398,Rhett,Mount Greenwood,41.69257,-87.71089,Entire home/apt,114,4,8,2020-08-19,247
5013,40419469,Cozy Lincoln Park Studio - Steps to Zoo!,312460992,Maureen,Lincoln Park,41.91738,-87.63686,Entire home/apt,90,3,30,2020-09-17,357
5014,40423941,Metra(♥)Mins to DTWN UnivChicago McCormickPlace,47056445,Andy,South Shore,41.76213,-87.58604,Private room,26,29,3,2020-06-29,242
5015,40429040,🏡 5-star 3BDRM stay in heart of Chicago,300930607,Mne,Bridgeport,41.82823,-87.64663,Entire home/apt,97,2,17,2020-08-23,161
5016,40429545,Sonder | Downtown 2BR | Discounted Rates,12243051,Sonder,Near South Side,41.86469,-87.62671,Entire home/apt,195,4,4,2020-08-20,189
5017,40429715,Beautiful Guest Suite close to downtown!,106272340,Hannah,Near West Side,41.88383,-87.68285,Entire home/apt,50,3,12,2020-05-15,75
5018,40439539,"Ideal Steeterville 1BR w/ Rooftop Pool, Pet Spa, nr. L, by Blueground (ID #CHI176)",107434423,Blueground,Near North Side,41.89218,-87.61717,Entire home/apt,180,30,0,,106
5019,40447467,"Monthly Avail, entire Townhome steps from Train",122910006,Kary,Lincoln Park,41.91265,-87.65069,Entire home/apt,280,6,3,2020-04-22,131
5020,40447771,"FAST INTERNET Great Safe Area, Walk to Whole Foods",49626033,Roma,Lake View,41.94011,-87.66502,Entire home/apt,65,31,1,2020-03-22,365
5021,40451005,Nice and cozy and comfortable and safe place,149110267,Evangela,Auburn Gresham,41.72939,-87.64003000000002,Private room,79,1,0,,0
5022,40452007,Andersonville Garden Living,26543301,Billy,Edgewater,41.9862,-87.66874,Entire home/apt,60,2,11,2020-08-04,228
5023,40466272,Perfect Downtown Location w/ Parking! Free Disney+,313091228,Randy,Near North Side,41.90071,-87.63306999999998,Entire home/apt,107,2,43,2020-08-28,3
5024,40466627,"Hip Streeterville 2 BR nr. CTA, Oak St. Beach & Shopping by Blueground",107434423,Blueground,Near North Side,41.89988,-87.62075,Entire home/apt,159,30,0,,355
5025,40466655,"Mod Streeterville 2 BR nr. CTA, Oak St. Beach & Shopping by Blueground",107434423,Blueground,Near North Side,41.89988,-87.62075,Entire home/apt,150,30,0,,323
5026,40471451,"Bright Room, Quiet Block  near Conservatory",15515783,Dan,Humboldt Park,41.88954,-87.71658000000002,Private room,33,32,2,2020-06-29,236
5027,40471875,"CHEAP PLACE IN QUIET, CENTRAL AREA, FREE PARKING",55976787,Natalia,Near West Side,41.87112,-87.65185,Private room,25,10,16,2020-05-06,152
5028,40472140,OneEleven RIVER VIEW FURNISHED STUDIO POOL (29),9400379,ExecuSuite Inc.,Loop,41.88552,-87.63037,Entire home/apt,70,31,0,,93
5029,40479341,South Shore Bungalow studio apt beach 10 min walk,28501460,Delia,South Shore,41.76414000000001,-87.57395,Private room,35,3,0,,358
5030,40482419,Green Nature Space,53369303,Blessing,North Lawndale,41.86209,-87.73192,Private room,29,3,0,,150
5031,40489333,Charming Wrigleyville Home Close to the Cubs!,23664454,Hailey,Lake View,41.95231,-87.66305,Entire home/apt,89,3,35,2020-09-17,58
5032,40503637,Cozy Studio Near Lake 15 mins to Downtown via LSD,285083456,Marjorie,South Shore,41.77203,-87.57356,Entire home/apt,199,2,1,2020-09-07,90
5033,40530056,Perfect Lincoln Park Retreat - Walk to DePaul!,312619248,Catherine,Lincoln Park,41.92643,-87.6432,Entire home/apt,144,4,28,2020-09-12,330
5034,40532171,NEW!! 3BR Ukr Vlg gem in BnB house w 200 reviews!!,8218275,Peter,West Town,41.89579000000001,-87.69008000000002,Entire home/apt,123,4,0,,121
5035,40532205,Cozy 2BD/1BA in Charming Logan Square,12011216,Mark,Logan Square,41.9278,-87.70178,Entire home/apt,72,3,23,2020-09-11,344
5036,40534674,In the Heart of the City!,218800805,Chicago Condo,Near North Side,41.8931,-87.61886,Entire home/apt,375,2,0,,58
5037,40536836,Serene & Stylish Space for 6- Close to Everything!,8670834,Dan,East Garfield Park,41.87623,-87.69509000000002,Entire home/apt,90,3,23,2020-09-13,341
5038,40537260,West Loop/Greek Town Apartment,16924212,Morgan,Near West Side,41.87793,-87.64639,Entire home/apt,140,4,0,,0
5039,40552614,Private Room In Southshore Condo,314145987,Rashanah,South Shore,41.76612,-87.56704,Private room,30,2,0,,180
5040,40557273,Cozy 3 bedroom duplex in safe neighborhood.,85726061,Jenny,Belmont Cragin,41.9274,-87.76231999999997,Entire home/apt,90,1,1,2020-01-01,0
5041,40559074,Huge 5BD Duplex in Lively Humboldt Park,314046786,Rafael,Humboldt Park,41.89323,-87.71078,Entire home/apt,216,3,3,2020-03-01,264
5042,40559225,money tree room,267960918,Justyn,Bridgeport,41.84042,-87.66114,Private room,50,1,2,2020-08-22,359
5043,40559866,Large room in 5 Story Town home steps 2 Red Line,13832017,Bracken,Uptown,41.96335,-87.66131999999998,Private room,50,1,16,2020-08-16,49
5044,40560870,Beautiful & Spacious Duplex - Unbeatable Location!,200416010,Saul,Near North Side,41.90989,-87.63883,Entire home/apt,345,3,7,2020-08-30,355
5045,40586168,Sleep15 - Spacious Downtown Penthouse 5bd with❤️,98193524,JW+Family,Loop,41.87363,-87.62871,Entire home/apt,408,2,3,2020-09-04,183
5046,40586944,IMMACULATE Brand New Condo Downtown Chicago!,314190718,Ben,Near West Side,41.88354,-87.66712,Entire home/apt,199,2,8,2020-05-13,362
5047,40591622,modern & spacious 1BR apt in Ukr Vlg gem w/ garage,8218275,Peter,West Town,41.89712,-87.68982,Entire home/apt,57,2,40,2020-09-09,163
5048,40593657,southwest Daley College apartment,45097013,Donna,West Lawn,41.75434,-87.72889,Entire home/apt,30,7,0,,87
5049,40604956,Luxury City View Bedroom with bathroom Short Rent,98789446,姿漪,Loop,41.87079,-87.62416999999998,Private room,45,7,1,2020-01-04,0
5050,40610780,"Private Rm,Queen,separate entrance,free park, apt",97870070,Daniel,Near West Side,41.87079,-87.65727,Private room,30,1,5,2020-01-01,174
