,name,latitude,longitude,price,minimum_nights
18412,Luxury 2BR/2BATH TownhousUpper East Side Manhattan,40.7613,-73.96414,795,4
18420,Sun Soaked 3-Bedroom w/ private roof deck,40.73389,-73.99335,800,1
18519,Luxury Full-Floor 2 Bed Loft w/Huge Private Roof,40.74775,-73.99167,999,2
18565,"Historic Brownstone (3Flrs). Pvt Deck, Garden,Park",40.81919,-73.9443,750,3
18632,Breathtaking City Views 3 Bed Apt. in Lincoln Sq!,40.7791,-73.98182,3000,30
18740,Fantastical Artist's loft in Tribeca,40.7155,-74.00754,800,13
18752,Unique Creative Artist Space in Brooklyn,40.65348,-74.00255,800,1
18975,Historic Serene Chelsea Brownstone 2.5 Bed,40.74787,-74.00088000000001,750,30
19060,Stunning 4 Bed Tribeca Penthouse w/ Huge Terrace!,40.72125,-74.00690999999999,894,30
19121,PRESIDENTIAL Condo 1 BDRM Wyndham Midtown 45 NYC,40.75362,-73.97158,749,2
19122,2BdrmPRESIDENTIAL Luxury CONDO In the Heart of NYC,40.7521,-73.972,799,4
19135,1Bdrm Deluxe WYNDHAM MIDTOWN 45*Great Location NYC,40.75388,-73.97308000000001,799,3
19139,2Bdrm PRESIDENTIAL CONDO Wyndham Midtown 45 Hotel,40.75375,-73.97295,799,4
19153,Bluebird Hells Kitchen 2-BR Apt + Full Service Spa,40.76075,-73.99893,748,30
19154,Bluebird Lavish 2-BR Apt Within Mile of Times Sq.,40.7602,-73.998,748,30
19159,Bluebird Deluxe 2-BR Apartment Near Central Park!,40.767140000000005,-73.9834,748,30
19160,#BBS 2-BR Apartment Near Times Square *Specials*,40.76487,-73.98238,748,30
19183,Luxury 2BR Penthouse in the hearth of Soho (Nyc),40.72575,-74.00128000000001,850,3
19236,Cityscape Views at Lux 1 Bed/1 Bath in Lincoln Sq.,40.78065,-73.98253000000001,1000,30
19270,Modern Luxury 2 Bed/ 2 Bath apartment in Midtown!,40.75425,-73.98312,2000,30
19304,"Private, Spacious Bedroom in Harlem, single bed",40.80242,-73.94215,1500,4
19429,Bluebird Hell's Kitchen Deluxe 2BR+ Zero Edge Pool,40.7619,-73.99896,748,30
19430,Bluebird Hell's Kitchen 2-BR + Killer City Views,40.76045,-73.99929,748,30
19435,Bluebird Luxury 2 BR Apartment Near Times Square!,40.760529999999996,-73.99809,748,30
19474,889 Bushwick Ave,40.69477,-73.92611,2000,5
19684,"SOHO,TRIBECA,LOFT,4500sqft.",40.71634,-74.00505,1500,2
19802,5 Star Luxury 2 BR Suite Heart of Manhattan,40.7611,-73.97412,2000,2
19803,5 Star Luxury Suite Heart of Manhattan,40.76042,-73.97345,1020,1
19876,Cozy private room in a new building in Bushwick,40.69283,-73.92702,900,15
19905,Beautiful 3000 SF Triplex house in Clinton Hill,40.68764,-73.96781999999999,950,4
20011,STUDIO in Wyndham Midtown 45 New York City!,40.753809999999994,-73.97125,899,2
20093,1 Bdrm Deluxe located in Wyndham Midtown 45 Resort,40.75356,-73.97155,799,3
20094,2 BDRM Presidential Reserve at Wyndham Midtown 45,40.753679999999996,-73.97358,1599,3
20108,KG Room Wyndham Midtown 45,40.75362,-73.97332,799,3
20185,1 Bedroom Presidential at Wyndham Midtown 45,40.75228,-73.97185,799,2
20187,"Elegant, Prime West Village 1 Bedroom",40.736779999999996,-74.00565999999999,800,5
20219,The Gnome House “ Oasis in the city “,40.75979,-73.96444,1200,1
20407,Extremely Rare Townhouse in East Village,40.7284,-73.98673000000001,850,3
20459,Hotel Room King/Queen at Wyndham Midtown 45 Resort,40.751979999999996,-73.97266,799,3
20512,Amazing 3BR Triplex Family Apartment w/ Garden,40.78467,-73.98192,900,30
20551,Spectacular Townhouse 4Floor 5BD West Village NYC,40.73726,-74.00085,2590,1
20819,2 BDRM PRESIDENTIAL LUXURY CONDO MIDTOWN 45  NYC *,40.75373,-73.97272,999,3
20889,MANHATTAN STUDIO SUITE SLEEPS 2 GUEST,40.76501,-73.98076,895,2
21001,Huge 2 Bed Apt with Private Bathrooms in UES!,40.77486,-73.95296,899,30
